"","Date","Tweets.published","impressions","engagements","taux.d‚..engagement","Retweets","r√.ponses","J.aime","clics.sur.le.profil.de.l.utilisateur","clics.sur.l.URL","clics.sur.le.hashtag","ouvertures.des.d√.tails","clics.sur.le.permalien","ouvertures.d.application","installations.de.l.application","abonnements.","envoyer.le.Tweet.par.email","composer.le.num√.ro","vues.du.m√.dia","engagements.avec.le.m√.dia","impressions.sponsoris√.","engagements.sponsoris√.","taux.d‚..engagement.sponsoris√.","Retweets.sponsoris√.","r√.ponses.sponsoris√.","J.aime.sponsoris√.","clics.sur.le.profil.de.l.utilisateur.sponsoris√.","clics.sur.l.URL.sponsoris√.","clics.sur.le.hashtag.sponsoris√.","ouvertures.des.d√.tails.sponsoris√.","clics.sur.le.permalien.sponsoris√.","ouvertures.d.application.sponsoris√.","installations.de.l.application.sponsoris√.","abonnements..sponsoris√.","envoyer.le.Tweet.par.email.sponsoris√.","composer.le.num√.ro.sponsoris√.","vues.du.m√.dia.sponsoris√.","engagements.avec.le.m√.dia.sponsoris√."
"31","2020-10-31",0,54,2,0.037037037037037,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"32","2020-11-01",0,203,1,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"33","2020-11-02",0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"34","2020-11-03",1,148,5,0.0337837837837838,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"35","2020-11-04",0,115,4,0.0347826086956522,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"36","2020-11-05",1,241,7,0.029045643153527,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"37","2020-11-06",0,68,2,0.0294117647058824,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"38","2020-11-07",0,33,2,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"39","2020-11-08",0,57,1,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"40","2020-11-09",0,63,3,0.0476190476190476,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
