"Date","Tweets published","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"2021-10-01","0","178","2","0.011235955056179775","0","0","0","0","1","0","0","0","0","0","0","0","0","7","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-02","0","49","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-03","0","20","1","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-04","0","24","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-05","1","287","17","0.059233449477351915","2","0","4","4","4","0","1","0","0","0","0","0","0","39","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-06","0","72","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-07","1","154","3","0.01948051948051948","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-08","0","70","6","0.08571428571428572","1","0","3","0","1","0","0","0","0","0","0","0","0","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-09","0","40","2","0.05","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-10","0","37","3","0.08108108108108109","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-11","0","96","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-12","1","74","2","0.02702702702702703","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-13","0","37","1","0.02702702702702703","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-14","1","54","3","0.05555555555555555","0","0","1","0","0","0","1","0","0","0","0","0","0","7","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-15","0","59","1","0.01694915254237288","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-16","0","7","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-17","0","43","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-18","0","113","1","0.008849557522123894","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-19","1","81","4","0.04938271604938271","1","0","0","0","2","0","0","0","0","0","0","0","0","6","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-20","0","39","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-21","1","63","8","0.12698412698412698","1","0","0","0","4","0","1","0","0","0","0","0","0","7","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-22","1","81","14","0.1728395061728395","0","0","4","0","1","0","3","0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-23","0","14","5","0.35714285714285715","0","0","0","0","1","0","0","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-24","0","67","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-25","0","62","1","0.016129032258064516","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-26","0","124","8","0.06451612903225806","0","0","1","1","0","0","0","0","0","0","0","0","0","24","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-27","0","13","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-28","0","34","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-29","1","132","2","0.015151515151515152","0","0","0","0","0","0","1","0","0","0","0","0","0","7","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-30","0","14","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-31","0","12","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
