"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1443591663641718795","https://twitter.com/groupe_onx/status/1443591663641718795","Protégez vos terminaux et systèmes d'information des menaces avancées grâce à notre offre #MDR en #servicemanagé qui allie l'#EDR d'#Harfanglab et l'#XDR de #SEKOIA.IO. 👉https://t.co/YDc3H8vyug https://t.co/8qRKhDArGF","2021-09-30 15:00 +0000","210.0","4.0","0.01904761904761905","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","27","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1442860363888963585","https://twitter.com/groupe_onx/status/1442860363888963585","Découvrez dans notre #livreblanc, réalisé avec notre partenaire PTC, quelles sont les « 6 étapes pour réussir votre projet #AR » et ainsi, accélérer votre ROI ! https://t.co/pdcOJjwisM
#réalitéaugmentée #expérienceAR #opérateuraugmenté #industrie40 #usinedufutur #PTC https://t.co/hh279IB5u8","2021-09-28 14:34 +0000","231.0","2.0","0.008658008658008658","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1441072332131418116","https://twitter.com/groupe_onx/status/1441072332131418116","📢 ON-X Groupe recrute ! Rendez-vous sur notre page Welcome to the Jungle pour découvrir tous nos postes à pourvoir dans les domaines de la #cybersécurité, du #cloud, des #infras ou encore des #territoiresnumériques.
👉https://t.co/kY6LFJtQLA https://t.co/fggsvV4OsE","2021-09-23 16:09 +0000","201.0","5.0","0.024875621890547265","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1438822376448344072","https://twitter.com/groupe_onx/status/1438822376448344072","Protégez vos terminaux et systèmes d'information des menaces avancées grâce à notre offre #MDR en #servicemanagé qui allie l'#EDR d'#Harfanglab et l'#XDR de #SEKOIA.IO. 👉https://t.co/Ri8HqkMVLN https://t.co/p1plasLNEI","2021-09-17 11:09 +0000","244.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","32","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1437805110453805066","https://twitter.com/groupe_onx/status/1437805110453805066","Retrouvez le 2eme numéro de notre #newsletter 𝐓&amp;𝐍𝐮𝐦 qui reprend toute l'actualité des #TerritoiresNumériques, décryptée par nos experts. 🏡🏥🏨
Retrouvez tous les articles en vous abonnant :
👉 https://t.co/g37kSK5CSg https://t.co/AGIZ4jmOei","2021-09-14 15:47 +0000","208.0","5.0","0.02403846153846154","0.0","0.0","1.0","1.0","1.0","0.0","2.0","0.0","0","0","0","0","0","24","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1435529529423011843","https://twitter.com/groupe_onx/status/1435529529423011843","Jour 2 au #FIC2021 ! Notre équipe de #DrôlesDeDames vous attend sur le stand F30, juste à côté de l'espace #EuropeanCyberCup ! 🏴‍☠️ N'hésitez pas vous y arrêter pour découvrir nos offres #cybersécurité et échanger sur vos projets.
#EDR #XDR #pentest #GRC #SecOps #CERT #RSSI #DPO https://t.co/TKhW5Rt2ql","2021-09-08 09:04 +0000","454.0","14.0","0.030837004405286344","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1435189889683886082","https://twitter.com/groupe_onx/status/1435189889683886082","[#FIC2021] 📢 Ne ratez pas l'intervention d'Olivier Revenu, Responsable du 𝗖𝗘𝗥𝗧 𝗢𝗡-𝗫 𝗚𝗿𝗼𝘂𝗽𝗲, lors de la table ronde #CORIIN à 14h45.

💬 Thématique : Détournements et fuites de données

#IndustrialSecurity #DataLeak #Cybersecurite https://t.co/5jsOAV3uUt","2021-09-07 10:35 +0000","523.0","9.0","0.017208413001912046","0.0","0.0","0.0","1.0","0.0","2.0","3.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1435169082354061314","https://twitter.com/groupe_onx/status/1435169082354061314","[#FIC2021] Quel plaisir de retrouver sur notre stand nos amis et partenaires de @sekoia_fr  et @harfanglab à l'occasion du lancement de notre offre MDR 👉 https://t.co/Ri8HqkMVLN 🛡
Rendez-vous sur notre stand F30 pour découvrir notre solution en service managé !
#cybersecurite https://t.co/oII6eNn0vY","2021-09-07 09:12 +0000","279.0","23.0","0.08243727598566308","0.0","0.0","5.0","3.0","1.0","0.0","0.0","0.0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1435154778766598145","https://twitter.com/groupe_onx/status/1435154778766598145","J-1 : Démarrage du #FIC2021. 🥳
Nos équipes sont impatientes de vous retrouver sur le stand F30, avec notre nouvelle mascotte ! N'hésitez pas à venir échanger avec nos experts #cyber autour d'un café, et repartez avec nos goodies.
#cybersecurite #MDR #EDR #XDR #pentest #GRC https://t.co/D6AtW4j2v7","2021-09-07 08:15 +0000","519.0","38.0","0.07321772639691715","3.0","0.0","1.0","3.0","0.0","1.0","2.0","0.0","0","0","0","0","0","28","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
