"Date","Tweets published","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"2021-01-01","0","16","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-02","0","24","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-03","0","9","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-04","0","43","7","0.16279069767441862","0","0","0","1","0","0","2","0","0","0","0","0","0","7","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-05","1","184","6","0.03260869565217391","3","0","1","0","0","0","2","0","0","0","0","0","0","17","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-06","0","261","3","0.011494252873563218","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-07","1","342","5","0.014619883040935672","0","0","0","1","1","0","2","0","0","0","0","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-08","0","88","5","0.056818181818181816","0","0","0","2","0","0","1","0","0","0","0","0","0","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-09","0","93","1","0.010752688172043012","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-10","0","67","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-11","0","176","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-12","0","65","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-13","1","196","10","0.05102040816326531","2","0","1","2","0","0","3","0","0","0","0","0","0","24","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-14","1","134","5","0.03731343283582089","0","0","2","0","0","0","3","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-15","0","139","7","0.050359712230215826","2","0","2","0","0","0","1","0","0","0","0","0","0","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-16","0","29","2","0.06896551724137931","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-17","0","42","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-18","0","82","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-19","1","159","4","0.025157232704402517","0","0","0","0","0","0","2","0","0","0","0","0","0","8","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-20","0","19","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-21","0","47","2","0.0425531914893617","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-22","0","14","1","0.07142857142857142","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-23","0","5","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-24","0","31","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-25","0","33","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-26","1","172","1","0.005813953488372093","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-27","0","48","2","0.041666666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-28","0","26","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-29","0","23","1","0.043478260869565216","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-30","0","52","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-31","0","118","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
