"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1458039116080291843","https://twitter.com/groupe_onx/status/1458039116080291843","Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». Visage avec monocle🗞
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/vvPeilkRM0","2021-11-09 11:49 +0000","152.0","3.0","0.019736842105263157","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1456306015629099020","https://twitter.com/groupe_onx/status/1456306015629099020","Le forum #Cybersécurité de @Cyberjobsfr ferme ses portes 😢
Merci aux candidats d'avoir été si nombreux à venir nous rencontrer 🤝
RDV sur notre page @wttj_fr pour découvrir l'intégralité de nos offres d'#emploi 👉 https://t.co/93tYm648DP
#Recrutement https://t.co/tp0oeWNJ7o","2021-11-04 17:03 +0000","254.0","5.0","0.01968503937007874","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1456277267944968201","https://twitter.com/groupe_onx/status/1456277267944968201","Nos équipes en #SécuritéNumérique vous attendent dès maintenant en direct du Forum Cybersécurité @Cyberjobsfr ! 
Venez les rencontrer sur le stand n°09 pour échanger sur vos projets professionnels dans le domaine de la #cybersécurité !🛡
#ForumCybersécurité #Consultant #CERT #GRC","2021-11-04 15:08 +0000","152.0","6.0","0.039473684210526314","1.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1455850994538012676","https://twitter.com/groupe_onx/status/1455850994538012676","Des services cloud qualifiés #SecNumCloud par l'@ANSSI_FR ? Mais pour quelles raisons ? ➡️Découvrez le témoignage de @orevenu, Directeur associé d'ON-X Groupe. 
#CyberSecurity #Cloud #numerique 
⬇️⬇️⬇️ https://t.co/R5hVYRvu4Z","2021-11-03 10:55 +0000","1001.0","6.0","0.005994005994005994","1.0","0.0","3.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
