;Identifiant du Tweet;Permalien du Tweet;Texte du Tweet;heure;impressions;engagements;taux d’engagement;Retweets;réponses;J'aime;clics sur le profil de l'utilisateur;clics sur l'URL;clics sur le hashtag;ouvertures des détails;clics sur le permalien;ouvertures d'application;installations de l'application;abonnements ;envoyer le Tweet par email;composer le numéro;vues du média;engagements avec le média;impressions sponsorisé;engagements sponsorisé;taux d’engagement sponsorisé;Retweets sponsorisé;réponses sponsorisé;J'aime sponsorisé;clics sur le profil de l'utilisateur sponsorisé;clics sur l'URL sponsorisé;clics sur le hashtag sponsorisé;ouvertures des détails sponsorisé;clics sur le permalien sponsorisé;ouvertures d'application sponsorisé;installations de l'application sponsorisé;abonnements  sponsorisé;envoyer le Tweet par email sponsorisé;composer le numéro sponsorisé;vues du média sponsorisé;engagements avec le média sponsorisé
3;1326845401429925888;https://twitter.com/groupe_onx/status/1326845401429925888;J-28 avant la #PBWS2020. Participez à la plus grande conférence virtuelle d'Europe sur la #Blockchain et les #cryptomonnaie, qui réunira près de 130 intervenants de renom. Inscription 👉 https://t.co/IQVfzzQeIH . https://t.co/OrzRKOzR1O;2020-11-12 11:12:00+00:00;604;10;0.0165562913907284;1;0;1;2;1;1;2;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1326125619982299136;https://twitter.com/groupe_onx/status/1326125619982299136;"#Reconfinement | En tant que #collectivité, découvrez nos conseils pour vous accompagner :
▶ à définir une stratégie des #UsagesNumériques résiliente,
▶ à mettre rapidement en œuvre cette dernière.
👉https://t.co/qCJrgNrO8u https://t.co/jr1bGtc0zd";2020-11-10 11:32:00+00:00;405;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1324318158963003393;https://twitter.com/groupe_onx/status/1324318158963003393;En cette période de #reconfinement, nos équipes restent mobilisées pour vous accompagner grâce au #télétravail. A cette occasion, nous partageons avec vous 6 conseils adoptés par nos équipes pour télétravailler efficacement. Bon courage à tous ! https://t.co/XQx0ZfWIa9;2020-11-05 11:50:00+00:00;453;9;0.0198675496688741;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;1323583239789961216;https://twitter.com/groupe_onx/status/1323583239789961216;Les équipes ON-X Groupe sont fières de rejoindre @Hexatrust, association de référence qui réunit les entreprises françaises innovantes en matière de #cybersécurité et #cloudcomputing. https://t.co/LMDn6jG0I0 https://t.co/Yk68BjHHXL;2020-11-03 11:10:00+00:00;605;8;0.0132231404958677;2;0;1;0;2;0;1;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;1341344598950629377;https://twitter.com/groupe_onx/status/1341344598950629377;Toutes les équipes ON-X Groupe vous souhaitent de #JoyeusesFêtes de fin d'année, riches en moments magiques ! 🎄🎁 Prenez bien soin de votre #santé et celle de vos proches. Et rendez-vous en #2020 pour relever ensemble de nouveaux défis. #transformation #projets #innovation https://t.co/YZGM903ETt;2020-12-22 11:27:00+00:00;798;6;0.0075187969924812;0;0;0;2;0;0;2;0;0;0;0;0;0;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;1339590445056229376;https://twitter.com/groupe_onx/status/1339590445056229376;"🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/lIsXRgZJBd
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/EOzz0UD6up";2020-12-17 15:17:00+00:00;970;9;0.0092783505154639;0;0;0;0;1;0;3;0;0;0;0;0;0;46;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1337086430263259136;https://twitter.com/groupe_onx/status/1337086430263259136;"La #PBWS2020 continue jusqu'à 21h.
📢 En direct : Keynote de Cedric O, Secrétaire d'Etat chargé de la Transition numérique, qui nous fait l'honneur de réaliser une Keynote sur l'importance de développer le marché de la #Blockchain #ONXBlockchain https://t.co/JaOO6rj2DN";2020-12-10 17:27:00+00:00;883;9;0.0101925254813137;1;1;1;0;0;0;6;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;1337003570353332226;https://twitter.com/groupe_onx/status/1337003570353332226;"📢 En direct de la #PBWS : notre expert #Blockchain Nicolas Cantu intervient en compagnie de la Fédération Open Space Makers sur le sujet : ""Blockchain and Space : the Next Frontier"". 🛰
👉RDV juste après son intervention sur le stand ON-X Blockchain pour prolonger les échanges. https://t.co/Jln1u3lakU";2020-12-10 11:57:00+00:00;726;4;0.0055096418732782;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1336974547854168065;https://twitter.com/groupe_onx/status/1336974547854168065;"#PBWS2020 - Jour 2 ! 🚀Aujourd'hui, notre expert Nicolas Cantu interviendra à 12h40 sur un sujet innovant et passionnant : #blockchain  and Space : the Next Frontier"". 🛰. Ne ratez pas à 18h la Keynote de Cédric O, Secrétaire d'Etat chargé de la Transition numérique. https://t.co/1Z8SszyHuB";2020-12-10 10:02:00+00:00;834;13;0.0155875299760191;1;0;4;2;0;0;5;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1336750538885648385;https://twitter.com/groupe_onx/status/1336750538885648385;"📢 En direct de la #PBWS : notre expert #Blockchain, Nicolas Cantu intervient en compagnie de Pauline Adam-Kalfon, Odile PANCIATICI, Andre Charles Legendre et Olivier Jaillon lors de la conférence ""Digitalization of Processes with Blockchain - by PwC""
https://t.co/1UOOsfA56p https://t.co/tnGLIkHP9b";2020-12-09 19:12:00+00:00;794;16;0.0201511335012594;1;0;0;1;0;0;5;0;0;0;0;0;0;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
