"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1432618715506520065","https://twitter.com/groupe_onx/status/1432618715506520065","#ISO27701 : Comment faire rimer #RGPD avec #Sécurité ?  Réponse dans notre guide, réalisé avec notre partenaire Synelience 👉 https://t.co/4frPYAFHO9 #DPO #privacy https://t.co/l6i1tbSSxz","2021-08-31 08:18 +0000","409.0","6.0","0.014669926650366748","3.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1430894173192818704","https://twitter.com/groupe_onx/status/1430894173192818704","Nos équipes #cybersécurité se réjouissent de participer au #FIC2021 du 7 au 9 sept. à Lille. L'occasion de présenter notre nouvelle offre MDR développée avec nos partenaires @harfanglab et @sekoia_io. RDV sur notre stand F30. Inscription : https://t.co/n3tM90q4II https://t.co/uCCtyeFDJ3","2021-08-26 14:05 +0000","453.0","10.0","0.02207505518763797","2.0","0.0","2.0","1.0","1.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1430452709552017410","https://twitter.com/groupe_onx/status/1430452709552017410","[𝗥𝗲𝗰𝗿𝘂𝘁𝗲𝗺𝗲𝗻𝘁 𝗖𝗹𝗼𝘂𝗱]📣 Poussez la bonne porte ! Rencontrez nos équipes 𝗢𝗡-𝗫 𝗖𝗹𝗼𝘂𝗱 lors de notre 𝗖𝗹𝗼𝘂𝗱 𝗗𝗮𝘁𝗶𝗻𝗴 du 𝟮𝟯/𝟬𝟵. ☁ 
🍹 Au programme : #speedmeeting #networking #ConseilFinOps
Pour rejoindre nos équipes #Cloud 👉https://t.co/6X2l6X4sYf https://t.co/wtwOHhIlkl","2021-08-25 08:51 +0000","241.0","3.0","0.012448132780082987","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1428337973037260804","https://twitter.com/groupe_onx/status/1428337973037260804","Utilisez la #RéalitéAugmentée pour offrir un support premium à vos opérateurs de #maintenance et booster leur #productivité grâce à la solution d’assistance à distance Vuforia Chalk de notre partenaire #PTC !👷

Essayez-la gratuitement👉https://t.co/NLvVuFk0F2
#industie40 #AR #RA https://t.co/o6IFMl6pr2","2021-08-19 12:48 +0000","262.0","4.0","0.015267175572519083","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","22","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1423214887526936576","https://twitter.com/groupe_onx/status/1423214887526936576","📢ON-X Groupe participe au FIC qui aura lieu du 𝟳 𝗮𝘂 𝟵 𝘀𝗲𝗽𝘁𝗲𝗺𝗯𝗿𝗲 à Lille.
A cette occasion, venez rencontrer nos experts en #SécuritéNumérique sur le stand F30 pour échanger avec eux de vos projets en #cybersécurité.🛡
👉Pour vous inscrire : https://t.co/2s5UgN9a0Q https://t.co/1GrKHxNvek","2021-08-05 09:30 +0000","320.0","1.0","0.003125","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1422533918335569920","https://twitter.com/groupe_onx/status/1422533918335569920","🚤C’est les vacances ! Mais imaginez ne plus pouvoir redémarrer votre bateau.🤔
Les industriels peuvent compter sur Vuforia Chalk de @PTC pour que les opérateurs de maintenance soient guidés en #RA à distance.
👉Testez gratuitement @Vuforia :  https://t.co/L9npAEedRb https://t.co/GStQwqFvnB","2021-08-03 12:24 +0000","338.0","2.0","0.005917159763313609","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
