"Date","Tweets published","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"2021-02-01","0","293","1","0.0034129692832764505","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-02","1","232","4","0.017241379310344827","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-03","0","47","4","0.0851063829787234","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-04","1","527","5","0.009487666034155597","1","0","1","0","0","0","2","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-05","0","101","7","0.06930693069306931","0","0","3","0","0","0","1","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-06","0","76","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-07","0","99","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-08","0","231","2","0.008658008658008658","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-09","1","693","2","0.002886002886002886","1","0","0","0","0","0","1","0","0","0","0","0","0","17","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-10","0","205","6","0.02926829268292683","0","0","0","0","0","0","2","0","0","0","0","0","0","12","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-11","1","558","7","0.012544802867383513","0","0","1","0","0","0","3","0","0","0","0","0","0","12","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-12","0","115","1","0.008695652173913044","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
