"Date","Tweets published","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"2020-12-01","0","61","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-02","0","18","6","0.3333333333333333","0","0","0","0","0","0","2","0","0","0","0","0","0","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-03","0","106","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-04","0","108","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-05","0","161","1","0.006211180124223602","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-06","0","10","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-07","0","70","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-08","1","320","14","0.04375","1","0","2","0","0","0","8","0","0","0","0","0","0","4","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-09","3","645","35","0.05426356589147287","4","0","4","1","0","1","15","0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-10","3","573","25","0.04363001745200698","2","1","6","2","0","0","11","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-11","0","117","4","0.03418803418803419","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-12","0","37","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-13","0","76","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-14","0","27","6","0.2222222222222222","0","0","0","0","0","0","2","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-15","0","225","7","0.03111111111111111","0","0","0","1","0","0","2","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-16","0","109","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-17","1","275","5","0.01818181818181818","0","0","0","1","0","0","2","0","0","0","0","0","0","24","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-18","0","111","3","0.02702702702702703","0","0","0","0","0","0","1","0","0","0","0","0","0","8","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-19","0","94","2","0.02127659574468085","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-20","0","110","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
