"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1454027598837784577","https://twitter.com/groupe_onx/status/1454027598837784577","Chez ON-X Groupe, 🧙‍♀️🧹, 👻 et autres créatures #Halloween ne nous font pas peur ❗
Grâce au CSE, nous sommes parés pour les repousser 🎃🔪🩸
Vous aussi participez à nos nombreux ateliers, rejoignez-nous 👉 https://t.co/czw0DUOJG5

Joyeux Halloween à tous #BonheurAuTravail #QVT https://t.co/WV7tacuMmt","2021-10-29 10:09 +0000","117.0","7.0","0.05982905982905983","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451526586143023111","https://twitter.com/groupe_onx/status/1451526586143023111","🇫🇷 Le Sénateur Cédric Perrin @cperrin90 est venu échanger avec nos équipes autour d'innovation technologique💡 : #cybersécurité, #cloud, #blockchain, #réalitéaugmentée... Un grand Merci à lui pour sa visite ! 🙏 https://t.co/vBBvpzE8p9 https://t.co/5p6hk8FkC2","2021-10-22 12:31 +0000","209.0","27.0","0.1291866028708134","1.0","0.0","4.0","2.0","2.0","0.0","3.0","0.0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451140920842375168","https://twitter.com/groupe_onx/status/1451140920842375168","J-15 avant le #ForumCybersécurité. RDV le 4 novembre prochain sur notre stand pour rencontrer nos équipes et échanger sur vos projets professionnels. S'inscrire 👉 https://t.co/feEeqrXzMt  #recrutement #sécuriténumérique #cybersécurité https://t.co/985B4FBclw","2021-10-21 10:58 +0000","153.0","3.0","0.0196078431372549","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450385731931852800","https://twitter.com/groupe_onx/status/1450385731931852800","🛡 Comme chaque année, le mois d’octobre rime avec #Cybermois. A cette occasion, nos équipes en #Cybersécurité vous lancent le défi de passer notre #CyberQuiz avec succès. 👑 
🕹 Prêt à relever le défi ?! 👉 https://t.co/uNisiweGNI https://t.co/O4CUb97Bqv","2021-10-19 08:58 +0000","151.0","4.0","0.026490066225165563","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448663408505614346","https://twitter.com/groupe_onx/status/1448663408505614346","Pour le #Cybermois, nos experts vous défient de réussir notre #CyberQuiz. 

Quel grade en #cybersécurité parviendrez-vous à atteindre ? #noobie #padawan #avenger #king

🕹Prêt à prouver votre valeur ? 3,2,1…. Partez ! 👉  https://t.co/VIePp5B2Zb https://t.co/lxxZj8oiTK","2021-10-14 14:54 +0000","180.0","11.0","0.06111111111111111","0.0","0.0","1.0","0.0","4.0","0.0","1.0","0.0","0","0","0","0","0","27","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1447857385012350981","https://twitter.com/groupe_onx/status/1447857385012350981","Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». Visage avec monocle🗞
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/YLXakD0rJB","2021-10-12 09:31 +0000","138.0","4.0","0.028985507246376812","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1446061825951469570","https://twitter.com/groupe_onx/status/1446061825951469570","📢Dans le cadre de notre développement, nous recherchons de nouveaux talents en #cybersécurité pour accompagner nos clients en région parisienne, lyonnaise ou toulousaine. Retrouvez toutes nos #offresemploi en CDI (H/F) : https://t.co/kY6LFJtQLA https://t.co/RnRlMXQcEv","2021-10-07 10:36 +0000","175.0","6.0","0.03428571428571429","0.0","0.0","4.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1445327892133593090","https://twitter.com/groupe_onx/status/1445327892133593090","Vous pensez être un pro de la #cybersécurité ? 🛡
A l’occasion du #Cybermois, ON-X Groupe vous propose de passer notre #CyberQuiz pour tester vos connaissances en matière de #SécuritéNumérique ! 
🎮 𝗩𝗲𝗻𝗲𝘇 𝗷𝗼𝘂𝗲𝗿 et partagez-nous votre score ! 👉 https://t.co/jRc8XaGreP https://t.co/EgffLRwm1b","2021-10-05 09:59 +0000","460.0","24.0","0.05217391304347826","3.0","0.0","5.0","5.0","4.0","0.0","4.0","0.0","0","0","0","0","0","55","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
