"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1331620735190757383","https://twitter.com/groupe_onx/status/1331620735190757383","📅 Ne ratez pas Jeudi 26/11 à 18h l'interview en #VR de Michael AMAR, l'un de nos experts en #Blockchain et #cryptomonnaies, également fondateur et co-host du Paris Blockchain Week Summit. https://t.co/oZyKp4gEY5","2020-11-25 15:28 +0000","760.0","11.0","0.014473684210526316","2.0","0.0","2.0","1.0","0.0","1.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331191388537561089","https://twitter.com/groupe_onx/status/1331191388537561089","🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/e5eY7xAKyo
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/Y42lwdJ9HP","2020-11-24 11:02 +0000","505.0","14.0","0.027722772277227723","1.0","0.0","0.0","0.0","2.0","0.0","8.0","0.0","0","0","0","0","0","36","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1329368918499135495","https://twitter.com/groupe_onx/status/1329368918499135495","📢 Ne ratez pas les 9 et 10/12 la #PBWS2020, la plus grande conférence d'Europe dédiée à la #Blockchain et aux #cryptomonnaies. Inscrivez-vous dès maintenant et profitez de 30 % de réduction sur vos tickets 👉 https://t.co/IQVfzzQeIH https://t.co/KyFrO3AH73","2020-11-19 10:20 +0000","1607.0","21.0","0.013067828251400125","3.0","0.0","4.0","0.0","4.0","0.0","9.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1326845401429925888","https://twitter.com/groupe_onx/status/1326845401429925888","J-28 avant la #PBWS2020. Participez à la plus grande conférence virtuelle d'Europe sur la #Blockchain et les #cryptomonnaie, qui réunira près de 130 intervenants de renom. Inscription 👉 https://t.co/IQVfzzQeIH . https://t.co/OrzRKOzR1O","2020-11-12 11:12 +0000","604.0","10.0","0.016556291390728478","1.0","0.0","1.0","2.0","1.0","1.0","2.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1326125619982299136","https://twitter.com/groupe_onx/status/1326125619982299136","#Reconfinement | En tant que #collectivité, découvrez nos conseils pour vous accompagner :
▶ à définir une stratégie des #UsagesNumériques résiliente,
▶ à mettre rapidement en œuvre cette dernière.
👉https://t.co/qCJrgNrO8u https://t.co/jr1bGtc0zd","2020-11-10 11:32 +0000","405.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1324318158963003393","https://twitter.com/groupe_onx/status/1324318158963003393","En cette période de #reconfinement, nos équipes restent mobilisées pour vous accompagner grâce au #télétravail. A cette occasion, nous partageons avec vous 6 conseils adoptés par nos équipes pour télétravailler efficacement. Bon courage à tous ! https://t.co/XQx0ZfWIa9","2020-11-05 11:50 +0000","453.0","9.0","0.019867549668874173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1323583239789961216","https://twitter.com/groupe_onx/status/1323583239789961216","Les équipes ON-X Groupe sont fières de rejoindre @Hexatrust, association de référence qui réunit les entreprises françaises innovantes en matière de #cybersécurité et #cloudcomputing. https://t.co/LMDn6jG0I0 https://t.co/Yk68BjHHXL","2020-11-03 11:10 +0000","605.0","8.0","0.013223140495867768","2.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
