"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1408081153672859649","https://twitter.com/groupe_onx/status/1408081153672859649","Anticipez et bloquez les #cyberattaques sur vos terminaux avec notre offre EDR, managée par nos experts en #cybersécurité. 
https://t.co/YDc3H8N9SQ
#EDR #MDR #Ransomwares #Harfanglab https://t.co/MrIFQ6PMqr","2021-06-24 15:14 +0000","610.0","6.0","0.009836065573770493","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","37","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1406954492046761984","https://twitter.com/groupe_onx/status/1406954492046761984","J-3 pour vous inscrire à notre #webinar 𝘊𝘰𝘮𝘮𝘦𝘯𝘵 𝘴𝘰𝘳𝘵𝘪𝘳 𝘥𝘶 𝘱𝘶𝘳𝘨𝘢𝘵𝘰𝘪𝘳𝘦 𝘥𝘦𝘴 ""𝘗𝘳𝘰𝘰𝘧 𝘖𝘧 𝘊𝘰𝘯𝘤𝘦𝘱𝘵"" ?
📌 Jeudi 24 juin à 17h
💬 En anglais
📝 S'inscrire : https://t.co/6S48Plbec8
#RéalitéVirtuelle #VR #immersivelearning #industry #innoactive https://t.co/uvG5Mi1reX","2021-06-21 12:37 +0000","511.0","3.0","0.005870841487279843","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","19","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1405531817034207242","https://twitter.com/groupe_onx/status/1405531817034207242","[#Webinar] J-7 pour vous inscrire à notre webinar 𝘊𝘰𝘮𝘮𝘦𝘯𝘵 𝘴𝘰𝘳𝘵𝘪𝘳 𝘥𝘶 𝘱𝘶𝘳𝘨𝘢𝘵𝘰𝘪𝘳𝘦 𝘥𝘦𝘴 ""𝘗𝘳𝘰𝘰𝘧 𝘖𝘧 𝘊𝘰𝘯𝘤𝘦𝘱𝘵"" ?
📌 Jeudi 24 juin à 17h
💬 En anglais
📝 S'inscrire : https://t.co/6S48PlsP3G
 #VR #immersivelearning #industry #innoactive #ONXgroupe https://t.co/r73gxOJ4Di","2021-06-17 14:24 +0000","515.0","4.0","0.007766990291262136","0.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1404813689316913163","https://twitter.com/groupe_onx/status/1404813689316913163","Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». 🧐🗞
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/5OXlrQH1ak","2021-06-15 14:50 +0000","610.0","7.0","0.011475409836065573","1.0","0.0","2.0","0.0","1.0","0.0","2.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1402583247842951173","https://twitter.com/groupe_onx/status/1402583247842951173","Tous les mois, retrouvez dans notre #newsletter 𝐓&amp;𝐍𝐮𝐦 toute l'actualité des #TerritoiresNumériques. 🏡🏥🏨
Ce mois-ci : zoom sur le rôle des #OPSN et témoignage du directeur de Tarn-et-Garonne Numérique. Abonnez-vous : https://t.co/g37kSK5CSg https://t.co/3KmYWwMpCz","2021-06-09 11:07 +0000","938.0","11.0","0.011727078891257996","2.0","0.0","1.0","0.0","2.0","0.0","3.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1402290615442890760","https://twitter.com/groupe_onx/status/1402290615442890760","Anticipez et bloquez les #cyberattaques sur vos terminaux avec notre offre EDR, managée par nos experts en #cybersécurité. 
https://t.co/Ri8HqkMVLN
#EDR #MDR #Ransomwares #Harfanglab https://t.co/83rhkHLaHb","2021-06-08 15:45 +0000","580.0","5.0","0.008620689655172414","0.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1400046596537176064","https://twitter.com/groupe_onx/status/1400046596537176064","Félicitations à notre partenaire @harfanglab qui vient de lever 5 millions d'euros !👏👏 Découvrez notre offre en #servicemanagé où nos experts en #cybersécurité pilotent pour vous votre #EDR 👉 https://t.co/Ri8HqkMVLN https://t.co/b0dkrcQFDd #rançongiciels #ransomwares #MDR","2021-06-02 11:08 +0000","582.0","2.0","0.003436426116838488","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1400044685264097281","https://twitter.com/groupe_onx/status/1400044685264097281","#Webinar - #VirtualReality training: Escaping the PoC Purgatory. 📌 24th june - 5pm CET. Register: 
https://t.co/IfTwaoyNTM #VR #immersivelearning #industry40 #innoactive #ONXgroupe https://t.co/M9HR6QKroB","2021-06-02 11:00 +0000","871.0","5.0","0.0057405281285878304","3.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
