"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1341344598950629377","https://twitter.com/groupe_onx/status/1341344598950629377","Toutes les équipes ON-X Groupe vous souhaitent de #JoyeusesFêtes de fin d'année, riches en moments magiques ! 🎄🎁 Prenez bien soin de votre #santé et celle de vos proches. Et rendez-vous en #2020 pour relever ensemble de nouveaux défis. #transformation #projets #innovation https://t.co/YZGM903ETt","2020-12-22 11:27 +0000","798.0","6.0","0.007518796992481203","0.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","16","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1339590445056229376","https://twitter.com/groupe_onx/status/1339590445056229376","🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/lIsXRgZJBd
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/EOzz0UD6up","2020-12-17 15:17 +0000","970.0","9.0","0.009278350515463918","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0","0","0","0","0","46","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1337086430263259136","https://twitter.com/groupe_onx/status/1337086430263259136","La #PBWS2020 continue jusqu'à 21h.
📢 En direct : Keynote de Cedric O, Secrétaire d'Etat chargé de la Transition numérique, qui nous fait l'honneur de réaliser une Keynote sur l'importance de développer le marché de la #Blockchain #ONXBlockchain https://t.co/JaOO6rj2DN","2020-12-10 17:27 +0000","883.0","9.0","0.010192525481313703","1.0","1.0","1.0","0.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1337003570353332226","https://twitter.com/groupe_onx/status/1337003570353332226","📢 En direct de la #PBWS : notre expert #Blockchain Nicolas Cantu intervient en compagnie de la Fédération Open Space Makers sur le sujet : ""Blockchain and Space : the Next Frontier"". 🛰
👉RDV juste après son intervention sur le stand ON-X Blockchain pour prolonger les échanges. https://t.co/Jln1u3lakU","2020-12-10 11:57 +0000","726.0","4.0","0.005509641873278237","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1336974547854168065","https://twitter.com/groupe_onx/status/1336974547854168065","#PBWS2020 - Jour 2 ! 🚀Aujourd'hui, notre expert Nicolas Cantu interviendra à 12h40 sur un sujet innovant et passionnant : #blockchain  and Space : the Next Frontier"". 🛰. Ne ratez pas à 18h la Keynote de Cédric O, Secrétaire d'Etat chargé de la Transition numérique. https://t.co/1Z8SszyHuB","2020-12-10 10:02 +0000","834.0","13.0","0.015587529976019185","1.0","0.0","4.0","2.0","0.0","0.0","5.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1336750538885648385","https://twitter.com/groupe_onx/status/1336750538885648385","📢 En direct de la #PBWS : notre expert #Blockchain, Nicolas Cantu intervient en compagnie de Pauline Adam-Kalfon, Odile PANCIATICI, Andre Charles Legendre et Olivier Jaillon lors de la conférence ""Digitalization of Processes with Blockchain - by PwC""
https://t.co/1UOOsfA56p https://t.co/tnGLIkHP9b","2020-12-09 19:12 +0000","794.0","16.0","0.020151133501259445","1.0","0.0","0.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1336643231665315841","https://twitter.com/groupe_onx/status/1336643231665315841","📢 En direct de la #PBWS : interview de notre expert @amarmic avec @katborlongan, Director of @LaFrenchTech, au sujet du marché de la Blockchain.
#Blockchain #cryptomonnaies https://t.co/0SX1gmD1il","2020-12-09 12:05 +0000","705.0","20.0","0.028368794326241134","1.0","0.0","2.0","4.0","0.0","0.0","8.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1336605373827076096","https://twitter.com/groupe_onx/status/1336605373827076096","La #PBWS2020 a commencé ! 🚀2 jours de conférences passionnantes sur la #Blockchain et les #Cryptomonnaies. RDV sur le stand virtuel d'ON-X Blockchain pour rencontrer nos experts et échanger sur vos projets. 
https://t.co/1UOOsfA56p
#PBWS #BuildtheWeb #Consulting #Developpement https://t.co/KofXkO9TRf","2020-12-09 09:35 +0000","852.0","10.0","0.011737089201877934","2.0","0.0","2.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1336265726034898944","https://twitter.com/groupe_onx/status/1336265726034898944","J-1 avant #PBWS2020, la plus grande conférence #Blockchain d'Europe. Ne ratez pas les trois interventions de Nicolas Cantu, directeur d'ON-X Blockchain. Inscription 👉https://t.co/tMz4Mdy8BP https://t.co/ngB6HZlZxx","2020-12-08 11:05 +0000","755.0","18.0","0.02384105960264901","1.0","0.0","2.0","0.0","0.0","1.0","8.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
