# ----------------------------------------
# Toutes les données du site Web
# Sites référents
# 20201201-20211220
# ----------------------------------------

Source,Utilisateurs,Nouveaux utilisateurs,Sessions,Taux de rebond,Pages/session,Durée moyenne des sessions,Contact (Taux de conversion – Objectif 1),Contact (Réalisations de l'objectif 1),Contact (Valeur de l'objectif 1)
github.com,1,0,19,"63,16 %","2,11",00:03:46,"0,00 %",0,"0,00 $US"
google.dz,1,1,1,"0,00 %","2,00",00:00:23,"0,00 %",0,"0,00 $US"
groupe-ilco.lightning.force.com,1,0,2,"50,00 %","1,50",00:00:05,"0,00 %",0,"0,00 $US"
handycafe.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
hermes.yoomap.fr,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
highsecu.free.fr,1,1,2,"50,00 %","7,50",00:01:58,"0,00 %",0,"0,00 $US"
host.io,1,1,1,"0,00 %","3,00",00:00:21,"0,00 %",0,"0,00 $US"
ibanfirst.lightning.force.com,1,0,2,"50,00 %","3,00",00:10:25,"0,00 %",0,"0,00 $US"
info.com,1,0,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
kadaza.fr,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
kasperksy_optiframework_channel_juillet2021.fleetservicesgroup.com,1,1,1,"0,00 %","7,00",00:20:18,"0,00 %",0,"0,00 $US"
ke.linkedin.com,1,0,1,"0,00 %","6,00",00:02:28,"0,00 %",0,"0,00 $US"
labeler.sandbox.indeed.net,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
mechabugs.indeed.com,1,1,1,"0,00 %","2,00",00:00:16,"0,00 %",0,"0,00 $US"
medium.com,1,0,2,"0,00 %","2,50",00:02:38,"50,00 %",1,"0,00 $US"
namecheck.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
nibelis.lightning.force.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
nibelis.my.salesforce.com,1,0,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
nortonsafe.search.ask.com,1,1,1,"0,00 %","5,00",00:01:08,"0,00 %",0,"0,00 $US"
oceanhero.today,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
onbibi.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
optioncarriere.sn,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
partnersearch.kaspersky.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
payfit.lightning.force.com,1,1,1,"0,00 %","6,00",00:01:26,"0,00 %",0,"0,00 $US"
ptc.com,1,1,1,"0,00 %","2,00",00:00:51,"0,00 %",0,"0,00 $US"
publicize.co,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
rating.ewoq.google.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
scholar.google.com.pk,1,1,1,"0,00 %","7,00",00:01:18,"0,00 %",0,"0,00 $US"
scolaconsult.fr,1,1,1,"0,00 %","2,00",00:00:17,"0,00 %",0,"0,00 $US"
search.free.fr,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
senjob.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
startpage.com,1,1,1,"0,00 %","2,00",00:00:08,"0,00 %",0,"0,00 $US"
stationf.co,1,0,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
translate.googleusercontent.com,1,1,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
us06web.zoom.us,1,0,5,"80,00 %","2,20",00:02:53,"0,00 %",0,"0,00 $US"
welcometothejungle.com,1,0,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
www-edelweb-fr-26zyg0p-dot-srtrkr.appspot.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
zi.lightning.force.com,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
zimbra.free.fr,1,1,1,"0,00 %","4,00",00:04:35,"0,00 %",0,"0,00 $US"
,1 065,872,1 304,"42,02 %","2,24",00:01:39,"0,23 %",3,"0,00 $US"

Index des jours,Utilisateurs
01/12/2020,10
02/12/2020,8
03/12/2020,3
04/12/2020,4
05/12/2020,1
06/12/2020,2
07/12/2020,4
08/12/2020,6
09/12/2020,10
10/12/2020,12
11/12/2020,5
12/12/2020,5
13/12/2020,5
14/12/2020,5
15/12/2020,13
16/12/2020,1
17/12/2020,1
18/12/2020,3
19/12/2020,4
20/12/2020,1
21/12/2020,1
22/12/2020,2
23/12/2020,4
24/12/2020,8
25/12/2020,8
26/12/2020,8
27/12/2020,5
28/12/2020,5
29/12/2020,8
30/12/2020,1
31/12/2020,1
01/01/2021,1
02/01/2021,2
03/01/2021,2
04/01/2021,6
05/01/2021,8
06/01/2021,7
07/01/2021,7
08/01/2021,5
09/01/2021,0
10/01/2021,2
11/01/2021,5
12/01/2021,4
13/01/2021,3
14/01/2021,5
15/01/2021,5
16/01/2021,2
17/01/2021,6
18/01/2021,4
19/01/2021,8
20/01/2021,5
21/01/2021,19
22/01/2021,6
23/01/2021,0
24/01/2021,1
25/01/2021,4
26/01/2021,5
27/01/2021,5
28/01/2021,7
29/01/2021,2
30/01/2021,2
31/01/2021,3
01/02/2021,8
02/02/2021,6
03/02/2021,5
04/02/2021,6
05/02/2021,6
06/02/2021,1
07/02/2021,3
08/02/2021,6
09/02/2021,20
10/02/2021,18
11/02/2021,6
12/02/2021,7
13/02/2021,4
14/02/2021,2
15/02/2021,7
16/02/2021,6
17/02/2021,10
18/02/2021,14
19/02/2021,9
20/02/2021,5
21/02/2021,8
22/02/2021,8
23/02/2021,9
24/02/2021,7
25/02/2021,5
26/02/2021,9
27/02/2021,6
28/02/2021,5
01/03/2021,15
02/03/2021,13
03/03/2021,6
04/03/2021,7
05/03/2021,6
06/03/2021,4
07/03/2021,4
08/03/2021,0
09/03/2021,2
10/03/2021,0
11/03/2021,1
12/03/2021,0
13/03/2021,0
14/03/2021,1
15/03/2021,2
16/03/2021,1
17/03/2021,4
18/03/2021,0
19/03/2021,5
20/03/2021,0
21/03/2021,5
22/03/2021,7
23/03/2021,0
24/03/2021,3
25/03/2021,2
26/03/2021,1
27/03/2021,1
28/03/2021,0
29/03/2021,0
30/03/2021,0
31/03/2021,0
01/04/2021,3
02/04/2021,1
03/04/2021,0
04/04/2021,1
05/04/2021,0
06/04/2021,1
07/04/2021,1
08/04/2021,1
09/04/2021,1
10/04/2021,0
11/04/2021,0
12/04/2021,1
13/04/2021,3
14/04/2021,3
15/04/2021,1
16/04/2021,2
17/04/2021,0
18/04/2021,0
19/04/2021,4
20/04/2021,1
21/04/2021,2
22/04/2021,2
23/04/2021,3
24/04/2021,1
25/04/2021,1
26/04/2021,4
27/04/2021,5
28/04/2021,2
29/04/2021,0
30/04/2021,1
01/05/2021,0
02/05/2021,0
03/05/2021,1
04/05/2021,0
05/05/2021,1
06/05/2021,1
07/05/2021,0
08/05/2021,0
09/05/2021,1
10/05/2021,1
11/05/2021,1
12/05/2021,1
13/05/2021,1
14/05/2021,2
15/05/2021,0
16/05/2021,0
17/05/2021,2
18/05/2021,2
19/05/2021,2
20/05/2021,1
21/05/2021,0
22/05/2021,0
23/05/2021,0
24/05/2021,1
25/05/2021,2
26/05/2021,1
27/05/2021,0
28/05/2021,0
29/05/2021,0
30/05/2021,0
31/05/2021,1
01/06/2021,0
02/06/2021,1
03/06/2021,0
04/06/2021,0
05/06/2021,0
06/06/2021,0
07/06/2021,0
08/06/2021,0
09/06/2021,1
10/06/2021,0
11/06/2021,0
12/06/2021,0
13/06/2021,0
14/06/2021,2
15/06/2021,0
16/06/2021,1
17/06/2021,0
18/06/2021,0
19/06/2021,0
20/06/2021,0
21/06/2021,0
22/06/2021,0
23/06/2021,2
24/06/2021,1
25/06/2021,7
26/06/2021,1
27/06/2021,3
28/06/2021,5
29/06/2021,4
30/06/2021,1
01/07/2021,2
02/07/2021,0
03/07/2021,0
04/07/2021,1
05/07/2021,2
06/07/2021,1
07/07/2021,2
08/07/2021,0
09/07/2021,0
10/07/2021,1
11/07/2021,0
12/07/2021,0
13/07/2021,4
14/07/2021,0
15/07/2021,0
16/07/2021,4
17/07/2021,2
18/07/2021,0
19/07/2021,2
20/07/2021,2
21/07/2021,375
22/07/2021,1
23/07/2021,1
24/07/2021,0
25/07/2021,0
26/07/2021,3
27/07/2021,1
28/07/2021,1
29/07/2021,1
30/07/2021,3
31/07/2021,0
01/08/2021,1
02/08/2021,0
03/08/2021,0
04/08/2021,0
05/08/2021,0
06/08/2021,0
07/08/2021,0
08/08/2021,0
09/08/2021,0
10/08/2021,0
11/08/2021,2
12/08/2021,0
13/08/2021,0
14/08/2021,0
15/08/2021,0
16/08/2021,0
17/08/2021,1
18/08/2021,0
19/08/2021,0
20/08/2021,2
21/08/2021,0
22/08/2021,0
23/08/2021,0
24/08/2021,0
25/08/2021,1
26/08/2021,0
27/08/2021,1
28/08/2021,0
29/08/2021,1
30/08/2021,0
31/08/2021,0
01/09/2021,1
02/09/2021,1
03/09/2021,0
04/09/2021,0
05/09/2021,0
06/09/2021,3
07/09/2021,1
08/09/2021,1
09/09/2021,0
10/09/2021,0
11/09/2021,0
12/09/2021,0
13/09/2021,2
14/09/2021,2
15/09/2021,0
16/09/2021,1
17/09/2021,0
18/09/2021,0
19/09/2021,0
20/09/2021,0
21/09/2021,0
22/09/2021,0
23/09/2021,0
24/09/2021,0
25/09/2021,0
26/09/2021,0
27/09/2021,2
28/09/2021,2
29/09/2021,1
30/09/2021,1
01/10/2021,0
02/10/2021,0
03/10/2021,0
04/10/2021,1
05/10/2021,0
06/10/2021,0
07/10/2021,0
08/10/2021,0
09/10/2021,1
10/10/2021,0
11/10/2021,0
12/10/2021,1
13/10/2021,0
14/10/2021,0
15/10/2021,1
16/10/2021,0
17/10/2021,1
18/10/2021,0
19/10/2021,0
20/10/2021,0
21/10/2021,1
22/10/2021,1
23/10/2021,1
24/10/2021,0
25/10/2021,1
26/10/2021,0
27/10/2021,4
28/10/2021,0
29/10/2021,0
30/10/2021,0
31/10/2021,1
01/11/2021,0
02/11/2021,2
03/11/2021,0
04/11/2021,0
05/11/2021,0
06/11/2021,0
07/11/2021,1
08/11/2021,0
09/11/2021,1
10/11/2021,0
11/11/2021,0
12/11/2021,0
13/11/2021,1
14/11/2021,0
15/11/2021,0
16/11/2021,2
17/11/2021,1
18/11/2021,0
19/11/2021,0
20/11/2021,0
21/11/2021,1
22/11/2021,2
23/11/2021,1
24/11/2021,1
25/11/2021,0
26/11/2021,0
27/11/2021,0
28/11/2021,0
29/11/2021,1
30/11/2021,1
01/12/2021,2
02/12/2021,0
03/12/2021,1
04/12/2021,0
05/12/2021,0
06/12/2021,1
07/12/2021,1
08/12/2021,1
09/12/2021,3
10/12/2021,0
11/12/2021,1
12/12/2021,0
13/12/2021,1
14/12/2021,2
15/12/2021,1
16/12/2021,1
17/12/2021,1
18/12/2021,0
19/12/2021,0
20/12/2021,1
,1 169
